Bahasa Indonesia,Bahasa Inggris,Matematika,Fisika,Biologi,Seni,Geografi,Sejarah,Pendidikan Jasmani,Kewirausahaan,Ekonomi,MBTI,Hobi,Gaya Belajar,Jurusan Kuliah
84,76,91,85,76,50,63,77,66,86,81,ISTJ,Teknologi,Kinestetik,Sistem Informasi
77,84,89,84,75,71,72,67,70,78,77,ISTJ,Game,Auditori,Sistem Informasi
78,83,95,82,68,50,75,78,63,81,74,ISTJ,Teknologi,Visual,Sistem Informasi
79,82,91,80,71,63,61,73,67,85,78,ISTJ,Game,Kinestetik,Sistem Informasi
81,85,86,92,78,65,73,73,60,77,74,INTJ,Teknologi,Kinestetik,Sistem Informasi
71,78,86,93,79,54,64,74,70,71,83,INTJ,Game,Visual,Sistem Informasi
84,77,93,95,71,50,71,78,80,88,73,INTJ,Game,Kinestetik,Sistem Informasi
81,85,94,90,74,71,73,72,82,83,85,INTJ,Teknologi,Kinestetik,Sistem Informasi
84,72,87,88,72,62,69,68,72,72,84,ISTJ,Game,Auditori,Sistem Informasi
82,83,97,81,73,59,64,69,78,88,76,INTJ,Game,Auditori,Sistem Informasi
70,80,91,95,67,72,60,78,70,86,84,INTJ,Game,Auditori,Sistem Informasi
72,75,96,83,77,64,65,75,76,79,80,ISTJ,Game,Kinestetik,Sistem Informasi
79,76,86,84,78,70,69,67,75,87,75,INTJ,Game,Visual,Sistem Informasi
78,84,85,91,72,53,72,73,64,72,76,ISTJ,Teknologi,Kinestetik,Sistem Informasi
74,71,86,83,70,68,69,76,69,86,72,ISTJ,Game,Auditori,Sistem Informasi
81,72,97,82,73,66,66,74,60,71,75,INTJ,Teknologi,Auditori,Sistem Informasi
74,79,89,85,67,70,65,79,63,78,77,INTJ,Teknologi,Visual,Sistem Informasi
82,73,85,89,69,50,75,77,71,71,83,ISTJ,Teknologi,Auditori,Sistem Informasi
77,74,93,93,72,63,74,72,64,77,84,ISTJ,Game,Visual,Sistem Informasi
77,76,97,88,69,74,70,73,69,70,78,ISTJ,Teknologi,Auditori,Sistem Informasi
77,81,95,90,78,59,75,75,69,82,76,ISTJ,Game,Kinestetik,Sistem Informasi
74,83,85,93,72,61,71,79,80,72,75,ISTJ,Game,Kinestetik,Sistem Informasi
76,71,87,80,80,65,61,73,80,74,79,INTJ,Teknologi,Visual,Sistem Informasi
85,83,89,84,73,61,68,78,78,87,82,ISTJ,Game,Kinestetik,Sistem Informasi
70,70,98,87,69,61,65,80,76,78,81,INTJ,Game,Visual,Sistem Informasi
85,71,89,83,68,66,61,73,83,82,78,ISTJ,Game,Kinestetik,Sistem Informasi
71,78,99,90,70,59,74,79,73,90,83,ISTJ,Game,Kinestetik,Sistem Informasi
74,85,99,93,74,69,68,75,72,86,75,ISTJ,Game,Auditori,Sistem Informasi
78,85,99,86,68,72,71,69,68,73,83,INTJ,Game,Visual,Sistem Informasi
78,85,90,82,73,73,65,70,75,73,71,INTJ,Game,Kinestetik,Sistem Informasi
79,70,86,89,74,55,62,73,82,71,83,ISTJ,Game,Kinestetik,Sistem Informasi
77,71,100,80,80,55,63,76,81,80,83,INTJ,Game,Visual,Sistem Informasi
74,76,100,80,76,61,74,65,74,78,74,ISTJ,Teknologi,Auditori,Sistem Informasi
77,85,98,88,75,56,75,65,64,90,76,ISTJ,Teknologi,Auditori,Sistem Informasi
80,77,91,85,67,61,69,70,72,77,71,INTJ,Game,Kinestetik,Sistem Informasi
70,78,86,93,66,74,72,72,84,86,73,INTJ,Teknologi,Kinestetik,Sistem Informasi
82,74,88,86,79,63,65,73,80,82,82,INTJ,Teknologi,Auditori,Sistem Informasi
85,72,88,93,72,74,71,69,69,86,85,ISTJ,Teknologi,Visual,Sistem Informasi
81,73,90,95,79,61,75,75,71,71,70,INTJ,Teknologi,Kinestetik,Sistem Informasi
76,79,87,91,80,63,73,67,68,89,74,ISTJ,Teknologi,Visual,Sistem Informasi
83,71,85,85,76,66,62,65,68,72,74,ISTJ,Game,Visual,Sistem Informasi
81,80,85,87,70,63,63,76,81,72,83,INTJ,Game,Kinestetik,Sistem Informasi
74,72,87,80,66,74,74,67,79,82,83,ISTJ,Teknologi,Kinestetik,Sistem Informasi
84,83,95,86,71,52,60,78,60,76,72,ISTJ,Game,Kinestetik,Sistem Informasi
72,81,91,89,79,59,63,79,73,75,76,ISTJ,Game,Auditori,Sistem Informasi
82,74,91,95,78,63,67,73,67,77,76,ISTJ,Game,Kinestetik,Sistem Informasi
84,83,99,82,73,62,70,65,65,83,80,INTJ,Game,Kinestetik,Sistem Informasi
77,81,100,89,67,56,64,73,79,75,72,INTJ,Teknologi,Auditori,Sistem Informasi
85,70,89,83,65,66,69,67,65,76,81,INTJ,Game,Visual,Sistem Informasi
82,74,89,89,76,52,70,77,62,82,74,ISTJ,Game,Visual,Sistem Informasi
82,70,91,82,70,66,73,72,65,76,73,INTJ,Game,Visual,Sistem Informasi
82,83,95,94,75,68,60,72,70,77,72,INTJ,Teknologi,Auditori,Sistem Informasi
80,75,98,84,79,63,64,77,81,82,73,INTJ,Teknologi,Auditori,Sistem Informasi
76,77,99,85,72,66,62,65,72,71,85,ISTJ,Game,Kinestetik,Sistem Informasi
83,84,95,80,69,64,65,72,71,81,84,ISTJ,Game,Auditori,Sistem Informasi
82,83,96,81,75,62,72,66,85,70,80,ISTJ,Game,Visual,Sistem Informasi
74,76,94,92,80,63,71,78,85,73,76,ISTJ,Teknologi,Kinestetik,Sistem Informasi
74,74,95,95,78,71,64,80,74,76,71,INTJ,Teknologi,Auditori,Sistem Informasi
84,85,90,91,74,57,71,75,75,89,73,INTJ,Teknologi,Kinestetik,Sistem Informasi
77,84,87,89,80,61,60,77,77,80,81,INTJ,Game,Auditori,Sistem Informasi
77,72,95,93,67,68,69,65,85,89,74,ISTJ,Teknologi,Auditori,Sistem Informasi
75,77,100,92,76,64,66,77,82,79,77,INTJ,Teknologi,Auditori,Sistem Informasi
73,76,96,89,80,70,69,67,61,74,84,INTJ,Teknologi,Visual,Sistem Informasi
79,71,85,90,70,61,74,70,84,78,81,ISTJ,Teknologi,Kinestetik,Sistem Informasi
70,75,89,87,71,70,73,72,82,89,85,ISTJ,Teknologi,Auditori,Sistem Informasi
82,73,87,82,78,73,62,73,71,73,76,ISTJ,Game,Kinestetik,Sistem Informasi
78,72,92,93,67,64,71,67,78,77,76,ISTJ,Game,Visual,Sistem Informasi
85,83,95,90,76,60,65,78,72,73,82,ISTJ,Game,Visual,Sistem Informasi
77,71,94,82,74,64,71,73,74,78,83,ISTJ,Teknologi,Kinestetik,Sistem Informasi
73,70,99,88,76,59,71,73,77,75,84,INTJ,Game,Kinestetik,Sistem Informasi
83,84,93,82,74,54,66,72,67,86,74,ISTJ,Teknologi,Auditori,Sistem Informasi
74,82,98,83,77,58,75,66,76,74,85,ISTJ,Game,Kinestetik,Sistem Informasi
72,80,89,83,79,62,61,71,73,82,76,INTJ,Game,Kinestetik,Sistem Informasi
72,83,89,83,76,60,71,67,77,88,74,ISTJ,Game,Kinestetik,Sistem Informasi
83,79,96,88,68,59,64,77,61,80,80,INTJ,Teknologi,Visual,Sistem Informasi
79,85,87,94,69,68,64,78,76,74,74,INTJ,Game,Auditori,Sistem Informasi
70,84,100,91,65,73,60,77,77,78,79,ISTJ,Teknologi,Auditori,Sistem Informasi
85,79,85,82,65,51,65,67,77,83,81,INTJ,Game,Visual,Sistem Informasi
76,84,100,83,77,63,62,76,60,74,75,ISTJ,Teknologi,Auditori,Sistem Informasi
74,80,98,93,67,51,64,75,61,76,81,ISTJ,Teknologi,Visual,Sistem Informasi
71,75,85,94,69,55,65,76,60,77,74,INTJ,Teknologi,Visual,Sistem Informasi
82,75,99,91,80,63,72,74,62,81,76,ISTJ,Teknologi,Visual,Sistem Informasi
70,75,87,81,65,59,67,77,72,75,70,INTJ,Teknologi,Visual,Sistem Informasi
71,83,92,84,73,64,72,74,62,88,76,ISTJ,Teknologi,Kinestetik,Sistem Informasi
81,70,90,90,69,67,73,78,72,71,76,INTJ,Teknologi,Visual,Sistem Informasi
77,83,89,91,65,70,70,79,62,87,72,ISTJ,Teknologi,Visual,Sistem Informasi
84,77,96,90,72,65,75,80,73,85,73,ISTJ,Teknologi,Visual,Sistem Informasi
70,75,98,89,68,65,70,78,82,70,75,INTJ,Game,Visual,Sistem Informasi
81,83,89,95,70,69,67,69,71,81,74,ISTJ,Teknologi,Auditori,Sistem Informasi
73,79,95,86,75,58,65,78,60,79,85,ISTJ,Game,Visual,Sistem Informasi
73,75,100,90,75,69,66,71,76,80,81,ISTJ,Game,Kinestetik,Sistem Informasi
71,76,92,88,65,56,67,69,74,77,75,INTJ,Game,Auditori,Sistem Informasi
73,71,95,89,76,54,60,66,63,85,80,INTJ,Teknologi,Visual,Sistem Informasi
81,75,96,89,73,74,61,66,70,78,81,ISTJ,Teknologi,Visual,Sistem Informasi
77,82,99,80,78,63,61,74,73,88,82,INTJ,Game,Kinestetik,Sistem Informasi
76,79,95,93,77,58,60,68,67,73,74,INTJ,Game,Auditori,Sistem Informasi
70,79,97,87,79,53,73,68,60,75,80,ISTJ,Teknologi,Kinestetik,Sistem Informasi
74,73,90,92,74,64,72,72,85,76,73,ISTJ,Teknologi,Kinestetik,Sistem Informasi
77,82,94,86,76,66,60,78,73,72,74,INTJ,Teknologi,Auditori,Sistem Informasi
74,82,90,90,73,55,64,67,66,82,76,INTJ,Game,Visual,Sistem Informasi
83,72,97,89,66,61,60,73,77,90,72,ISTJ,Teknologi,Visual,Sistem Informasi
74,77,85,86,80,65,66,75,72,70,78,ISTJ,Game,Kinestetik,Sistem Informasi
78,82,100,84,76,60,60,73,70,71,85,INTJ,Teknologi,Auditori,Sistem Informasi
75,75,94,83,70,72,61,67,71,90,79,INTJ,Teknologi,Auditori,Sistem Informasi
72,85,98,88,71,67,60,73,65,78,82,ISTJ,Game,Kinestetik,Sistem Informasi
85,81,99,92,73,75,64,74,73,90,84,INTJ,Teknologi,Visual,Sistem Informasi
71,73,91,93,76,57,67,70,71,81,75,INTJ,Game,Visual,Sistem Informasi
82,78,91,88,65,52,72,66,66,86,80,INTJ,Teknologi,Auditori,Sistem Informasi
73,82,88,90,75,60,74,65,65,70,70,ISTJ,Teknologi,Kinestetik,Sistem Informasi
80,72,93,95,74,74,70,76,83,76,78,ISTJ,Teknologi,Kinestetik,Sistem Informasi
80,78,88,85,67,69,75,80,75,83,79,INTJ,Teknologi,Auditori,Sistem Informasi
71,82,93,84,71,63,66,77,79,76,85,ISTJ,Teknologi,Kinestetik,Sistem Informasi
82,72,91,91,79,50,60,65,62,81,82,ISTJ,Teknologi,Visual,Sistem Informasi
83,82,94,83,70,55,69,74,74,89,80,INTJ,Game,Kinestetik,Sistem Informasi
72,72,98,80,72,57,73,77,68,77,77,ISTJ,Teknologi,Auditori,Sistem Informasi
79,82,95,92,69,62,70,74,66,88,77,INTJ,Teknologi,Kinestetik,Sistem Informasi
73,76,99,93,67,63,62,66,80,88,72,INTJ,Teknologi,Kinestetik,Sistem Informasi
84,72,95,88,80,60,65,66,68,87,79,ISTJ,Game,Kinestetik,Sistem Informasi
84,77,91,80,77,55,60,68,82,74,81,ISTJ,Teknologi,Visual,Sistem Informasi
76,84,93,92,67,53,67,78,73,72,79,ISTJ,Teknologi,Auditori,Sistem Informasi
85,79,98,95,65,72,65,74,75,87,74,INTJ,Teknologi,Auditori,Sistem Informasi
78,76,99,86,72,65,70,71,60,79,80,INTJ,Game,Auditori,Sistem Informasi
72,80,86,91,74,69,67,76,61,76,84,ISTJ,Game,Kinestetik,Sistem Informasi
70,75,94,94,76,73,61,67,67,85,79,ISTJ,Teknologi,Auditori,Sistem Informasi
81,83,96,81,67,54,69,65,77,78,78,INTJ,Game,Kinestetik,Sistem Informasi
81,83,90,82,76,74,65,70,72,72,72,ISTJ,Teknologi,Kinestetik,Sistem Informasi
74,76,90,92,65,66,69,73,76,82,81,ISTJ,Teknologi,Kinestetik,Sistem Informasi
71,71,97,93,76,70,74,71,72,72,74,INTJ,Teknologi,Auditori,Sistem Informasi
75,84,89,86,67,50,64,67,76,90,74,ISTJ,Teknologi,Auditori,Sistem Informasi
71,81,88,89,76,52,69,72,82,79,84,ISTJ,Teknologi,Kinestetik,Sistem Informasi
82,84,97,81,66,59,60,78,68,79,75,ISTJ,Teknologi,Visual,Sistem Informasi
77,75,96,89,77,69,67,67,67,79,78,ISTJ,Teknologi,Kinestetik,Sistem Informasi
70,77,100,83,67,52,73,70,78,70,83,INTJ,Game,Visual,Sistem Informasi
81,85,93,94,80,66,69,71,85,71,77,ISTJ,Teknologi,Kinestetik,Sistem Informasi
73,73,88,94,73,65,75,73,82,88,82,INTJ,Teknologi,Kinestetik,Sistem Informasi
73,84,86,89,74,57,69,69,60,90,72,INTJ,Teknologi,Kinestetik,Sistem Informasi
80,71,98,87,72,75,74,72,66,85,74,INTJ,Teknologi,Auditori,Sistem Informasi
75,73,97,84,78,67,74,76,62,84,73,INTJ,Teknologi,Visual,Sistem Informasi
73,75,85,91,67,69,73,80,67,76,71,ISTJ,Teknologi,Auditori,Sistem Informasi
72,76,91,91,77,70,72,65,62,72,74,INTJ,Game,Auditori,Sistem Informasi
82,77,88,89,68,73,63,73,64,81,76,ISTJ,Game,Kinestetik,Sistem Informasi
84,70,97,91,68,63,61,72,64,78,72,INTJ,Game,Kinestetik,Sistem Informasi
70,84,98,83,65,67,72,73,64,76,82,INTJ,Game,Visual,Sistem Informasi
75,72,99,84,66,75,73,75,77,79,85,INTJ,Game,Auditori,Sistem Informasi
79,75,93,88,77,68,69,75,68,71,73,INTJ,Game,Kinestetik,Sistem Informasi
75,76,87,90,74,57,71,65,83,78,75,INTJ,Game,Visual,Sistem Informasi
82,83,88,81,79,62,68,77,71,79,72,INTJ,Teknologi,Visual,Sistem Informasi
71,82,95,90,74,70,68,79,85,82,70,ISTJ,Game,Auditori,Sistem Informasi
78,74,100,92,69,69,65,75,75,71,82,ISTJ,Game,Visual,Sistem Informasi
77,85,94,81,78,67,65,75,81,88,76,INTJ,Teknologi,Auditori,Sistem Informasi
78,76,94,82,78,67,60,76,84,72,80,INTJ,Game,Kinestetik,Sistem Informasi
83,71,90,85,78,66,75,74,84,72,72,ISTJ,Teknologi,Auditori,Sistem Informasi
76,84,88,88,72,56,71,75,64,89,71,ISTJ,Game,Visual,Sistem Informasi
75,74,98,88,69,73,69,68,61,84,80,ISTJ,Game,Kinestetik,Sistem Informasi
73,85,97,92,78,67,63,79,82,83,70,ISTJ,Teknologi,Auditori,Sistem Informasi
81,85,87,85,75,65,72,71,67,81,78,ISTJ,Teknologi,Auditori,Sistem Informasi
73,79,99,84,77,72,69,72,77,71,76,ISTJ,Teknologi,Visual,Sistem Informasi
83,80,91,92,68,62,65,68,77,78,82,INTP,Game,Kinestetik,Teknik Informatika
70,76,91,80,79,57,65,76,62,81,71,ENTP,Game,Kinestetik,Teknik Informatika
76,77,88,89,71,70,75,68,72,77,85,ENTP,Game,Kinestetik,Teknik Informatika
71,80,100,92,78,56,64,68,63,84,82,ENTP,Coding,Auditori,Teknik Informatika
81,70,95,80,66,65,66,73,73,73,76,ENTP,Game,Kinestetik,Teknik Informatika
71,81,90,94,67,61,69,75,81,85,76,ENTP,Game,Kinestetik,Teknik Informatika
82,79,85,95,70,71,66,79,75,87,72,INTP,Game,Kinestetik,Teknik Informatika
76,73,93,87,77,68,60,74,78,78,80,ENTP,Game,Visual,Teknik Informatika
72,74,97,82,75,63,60,78,79,75,81,ENTP,Game,Kinestetik,Teknik Informatika
77,82,88,95,65,73,69,73,62,84,76,INTP,Game,Kinestetik,Teknik Informatika
75,81,98,93,79,52,74,65,64,81,72,ENTP,Game,Kinestetik,Teknik Informatika
70,85,88,91,77,58,67,71,60,86,73,ENTP,Coding,Kinestetik,Teknik Informatika
78,70,93,91,69,75,64,79,77,84,76,ENTP,Game,Visual,Teknik Informatika
84,82,94,81,68,51,60,72,82,84,70,INTP,Game,Visual,Teknik Informatika
80,80,99,89,74,75,75,74,62,72,81,INTP,Game,Auditori,Teknik Informatika
85,78,94,93,79,61,65,70,60,79,82,INTP,Game,Auditori,Teknik Informatika
78,75,89,93,71,60,69,73,78,90,82,INTP,Coding,Kinestetik,Teknik Informatika
77,71,85,86,74,57,70,71,85,85,75,INTP,Coding,Auditori,Teknik Informatika
80,72,91,95,72,74,71,68,81,82,83,ENTP,Coding,Visual,Teknik Informatika
77,73,89,90,65,59,64,67,61,89,70,ENTP,Coding,Visual,Teknik Informatika
77,81,86,83,72,69,68,68,72,77,71,INTP,Coding,Auditori,Teknik Informatika
82,73,91,95,76,52,73,71,68,78,78,INTP,Coding,Auditori,Teknik Informatika
77,85,89,92,80,62,67,68,78,72,80,ENTP,Coding,Visual,Teknik Informatika
78,72,94,81,70,74,72,77,80,73,73,INTP,Coding,Kinestetik,Teknik Informatika
83,78,94,80,65,65,65,68,65,80,84,ENTP,Coding,Auditori,Teknik Informatika
76,85,98,82,75,71,63,72,69,78,71,ENTP,Coding,Auditori,Teknik Informatika
76,74,88,89,68,52,62,79,60,75,81,INTP,Coding,Auditori,Teknik Informatika
79,77,87,95,79,73,70,65,85,74,83,ENTP,Game,Visual,Teknik Informatika
76,81,90,88,73,50,73,78,67,73,78,ENTP,Coding,Visual,Teknik Informatika
75,81,93,88,78,68,69,78,79,73,72,ENTP,Coding,Visual,Teknik Informatika
82,70,87,94,77,55,67,69,73,81,75,INTP,Coding,Visual,Teknik Informatika
79,76,94,80,76,68,61,71,74,81,82,INTP,Coding,Kinestetik,Teknik Informatika
73,84,92,92,75,53,67,68,75,77,72,INTP,Coding,Kinestetik,Teknik Informatika
75,74,100,86,66,53,67,69,66,71,78,INTP,Coding,Auditori,Teknik Informatika
78,80,85,84,65,58,64,79,61,88,80,ENTP,Game,Visual,Teknik Informatika
76,73,87,87,71,58,63,73,80,83,77,ENTP,Game,Kinestetik,Teknik Informatika
82,83,88,86,70,51,72,77,79,70,70,ENTP,Coding,Visual,Teknik Informatika
71,70,94,94,76,68,63,70,77,79,79,ENTP,Coding,Kinestetik,Teknik Informatika
71,75,97,84,72,58,63,65,81,79,85,ENTP,Coding,Auditori,Teknik Informatika
80,76,93,92,66,72,74,73,62,88,80,INTP,Coding,Kinestetik,Teknik Informatika
75,74,93,80,70,65,63,65,68,72,74,INTP,Game,Kinestetik,Teknik Informatika
77,78,94,84,70,60,74,70,63,82,72,ENTP,Coding,Auditori,Teknik Informatika
77,76,85,89,73,74,68,74,63,87,84,INTP,Coding,Kinestetik,Teknik Informatika
77,82,95,86,80,55,73,69,80,78,81,INTP,Game,Visual,Teknik Informatika
81,80,88,95,73,60,75,68,63,86,71,INTP,Coding,Auditori,Teknik Informatika
77,78,86,82,75,71,68,80,74,78,82,INTP,Game,Auditori,Teknik Informatika
73,71,90,90,75,61,71,66,63,74,76,INTP,Game,Kinestetik,Teknik Informatika
75,74,91,93,79,53,74,72,82,84,73,ENTP,Game,Auditori,Teknik Informatika
72,74,86,95,80,55,62,67,62,81,75,INTP,Game,Auditori,Teknik Informatika
72,78,94,88,72,61,68,79,79,70,74,ENTP,Coding,Kinestetik,Teknik Informatika
75,79,92,88,66,54,72,73,78,72,71,INTP,Game,Auditori,Teknik Informatika
85,71,98,90,66,52,73,75,78,70,71,ENTP,Game,Auditori,Teknik Informatika
74,83,91,87,79,54,75,74,66,82,76,INTP,Game,Visual,Teknik Informatika
81,85,100,91,75,54,68,79,72,70,77,INTP,Game,Visual,Teknik Informatika
71,78,88,89,78,68,63,73,62,81,75,INTP,Game,Visual,Teknik Informatika
85,82,97,93,73,63,62,67,66,90,70,INTP,Coding,Auditori,Teknik Informatika
83,72,85,86,72,67,71,79,79,76,72,INTP,Coding,Kinestetik,Teknik Informatika
71,75,87,92,78,66,65,80,68,71,85,ENTP,Game,Auditori,Teknik Informatika
84,85,88,84,72,72,60,78,67,80,74,ENTP,Coding,Visual,Teknik Informatika
76,77,99,90,78,63,69,69,62,72,84,INTP,Coding,Kinestetik,Teknik Informatika
74,82,100,80,79,56,67,78,77,90,84,ENTP,Coding,Kinestetik,Teknik Informatika
83,78,85,80,73,73,70,76,75,80,82,ENTP,Coding,Visual,Teknik Informatika
73,72,89,90,78,66,62,78,60,73,70,INTP,Coding,Kinestetik,Teknik Informatika
76,77,91,89,70,60,64,68,64,90,83,ENTP,Coding,Auditori,Teknik Informatika
83,76,93,85,66,64,69,77,81,75,81,INTP,Coding,Kinestetik,Teknik Informatika
73,70,99,94,80,60,66,72,85,85,74,ENTP,Coding,Auditori,Teknik Informatika
81,76,96,89,65,70,71,80,83,72,70,INTP,Coding,Auditori,Teknik Informatika
78,80,98,80,66,68,67,66,67,77,82,INTP,Coding,Kinestetik,Teknik Informatika
77,71,96,93,73,58,61,70,72,75,76,ENTP,Coding,Visual,Teknik Informatika
73,81,86,93,65,69,67,80,60,80,77,ENTP,Coding,Auditori,Teknik Informatika
76,84,94,89,67,58,70,75,75,72,85,ENTP,Coding,Kinestetik,Teknik Informatika
75,72,88,88,68,64,64,70,83,87,82,ENTP,Game,Visual,Teknik Informatika
74,71,98,81,79,56,64,73,71,86,80,ENTP,Coding,Auditori,Teknik Informatika
78,74,90,86,80,64,72,77,83,72,76,INTP,Coding,Visual,Teknik Informatika
85,79,89,82,66,66,71,71,71,70,75,INTP,Game,Kinestetik,Teknik Informatika
72,73,86,90,71,58,66,74,85,82,75,ENTP,Coding,Kinestetik,Teknik Informatika
74,74,85,89,76,75,75,66,77,79,85,ENTP,Game,Visual,Teknik Informatika
72,85,92,87,80,62,73,74,81,73,78,INTP,Game,Visual,Teknik Informatika
76,75,89,87,77,59,71,80,75,85,72,INTP,Game,Auditori,Teknik Informatika
72,70,88,87,69,51,73,68,84,81,74,INTP,Game,Auditori,Teknik Informatika
72,70,93,95,73,75,65,69,62,79,79,ENTP,Coding,Visual,Teknik Informatika
83,73,98,81,68,52,75,70,82,73,78,INTP,Coding,Visual,Teknik Informatika
71,76,93,90,73,67,62,71,75,90,78,ENTP,Game,Visual,Teknik Informatika
83,82,94,86,76,74,74,74,69,86,81,INTP,Coding,Kinestetik,Teknik Informatika
82,72,89,89,65,71,69,78,62,70,78,INTP,Coding,Kinestetik,Teknik Informatika
80,84,86,89,69,55,65,74,76,85,72,INTP,Game,Kinestetik,Teknik Informatika
83,84,85,95,80,52,61,78,69,77,76,INTP,Coding,Visual,Teknik Informatika
76,71,92,86,74,51,68,79,61,86,84,ENTP,Coding,Kinestetik,Teknik Informatika
76,76,91,95,68,73,74,73,61,90,71,ENTP,Game,Kinestetik,Teknik Informatika
72,81,100,87,78,59,73,69,64,88,84,INTP,Game,Kinestetik,Teknik Informatika
82,70,88,92,78,56,69,70,73,88,74,ENTP,Game,Kinestetik,Teknik Informatika
79,75,99,93,75,56,61,65,63,83,82,ENTP,Game,Auditori,Teknik Informatika
73,72,85,94,79,63,72,74,73,85,81,INTP,Coding,Kinestetik,Teknik Informatika
75,81,96,82,80,68,67,65,62,73,80,INTP,Coding,Auditori,Teknik Informatika
82,79,92,91,72,63,69,66,77,72,77,INTP,Game,Visual,Teknik Informatika
71,82,94,83,65,68,71,66,67,88,72,ENTP,Game,Kinestetik,Teknik Informatika
75,76,94,88,78,68,70,78,80,77,75,ENTP,Coding,Kinestetik,Teknik Informatika
74,77,87,95,72,74,72,73,83,83,79,INTP,Game,Auditori,Teknik Informatika
79,80,85,81,69,64,64,71,63,82,85,ENTP,Coding,Kinestetik,Teknik Informatika
74,77,94,84,69,58,70,74,79,81,78,ENTP,Coding,Visual,Teknik Informatika
71,82,98,93,80,62,73,70,67,80,78,INTP,Game,Visual,Teknik Informatika
81,71,93,81,76,55,73,80,65,88,81,INTP,Coding,Auditori,Teknik Informatika
